Score,Rating,Title,Price,Median_Comp,Discount_%,Seller_Feedback,Sales_Count,Age_Days,Red_Flags,URL
0,ERROR,"Michael Jordan 1997-98 Topps Finest #39 NBA Card Chicago Bulls GEM MINT 10",59.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/267314466244?_skw=michael+jordan+topps+finest&hash=item3e3d2f0dc4:g:e~4AAeSwpypoaWm5&amdata=enc%3AAQALAAAA8DZq0hFgvSYlgrFkWCFZ3z2%2BgvLOlGkTElSkT6NES%2BOeZlulDFoxuP5TpiQJyCxyH2FyFrF0oekBhg2ab%2F5srlN6VNaJEKErRztaw2MRKxd7OXTXGZSZtnb8mdymtQLm2gJarButQZS1vurcIqE8ejQgI6AuiVCHAbVVGRdMaJqHVp1JqiTjplCO41AkOlFSMp3JmZjJB6vIFAdMPIXL7%2BBrtUcz%2BBygp%2BYNsc5KUgpHU1LqQ0fIgJbg12jhs0uhuDtcVo2%2BIU5V%2B269brP2u1oSbRt8ytGRuXzjXxbPhuH%2Fb3nwaRhnWzNKzMK97CCFkw%3D%3D
0,ERROR,"Michael Jordan 1996 Finest Sterling W/coating PSA 8",60,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/168116768479?_skw=michael+jordan+topps+finest&hash=item27248a4edf:g:aEcAAeSwmhlpeYLc
0,ERROR,"1997-98 Topps Finest - Common Bronze Michael Jordan #271",30.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/236600869094?_skw=michael+jordan+topps+finest&hash=item371682c0e6:g:RSgAAeSweLhpdVIK
0,ERROR,"1995-96 Topps Finest - Michael Jordan #229 with coating",73.24,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/116950563206?_skw=michael+jordan+topps+finest&hash=item1b3acbf986:g:gNMAAeSwNnlpUCmQ
0,ERROR,"1994-95 Topps Finest - Michael Jordan with coating #331 ⚜️",325.5,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/187957764950?_skw=michael+jordan+topps+finest&hash=item2bc327e356:g:MTEAAeSwXUhpaaAR
0,ERROR,"1998 Topps Finest 81 Michael Jordan PSA 9 Mint Chicago Bulls",105.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/336252301713?_skw=michael+jordan+topps+finest&hash=item4e4a32f191:g:~PgAAeSwyG1o~Rrt
0,ERROR,"1996-97 Topps Finest Michael Jordan #291 PSA 8 Chicago Bulls ",399.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/326971030774?_skw=michael+jordan+topps+finest&hash=item4c20fdfcf6:g:iw4AAeSwz5JpdtX4
0,ERROR,"1995-96 Topps Finest - Mystery Finest Michael Jordan #M 1 Borderless/Silver",90,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/198071628428?_skw=michael+jordan+topps+finest&hash=item2e1dfd328c:g:WCoAAeSwTVNpf563
0,ERROR,"1993 Finest Michael Jordan 🔥PSA 9 🔥First Year Finest, MJ Greatest Ever! 🏀",230,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/397532354507?_skw=michael+jordan+topps+finest&hash=item5c8ec657cb:g:56YAAeSwqixpfn2x
0,ERROR,"1997 Topps Finest Michael Jordan Showstoppers PSA 9 #271 - Chicago Bulls",59.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/177827884154?_skw=michael+jordan+topps+finest&hash=item29675e2c7a:g:8OEAAeSwCZZpf-SY
0,ERROR,"1994 Topps Finest Basketball #331 Michael Jordan PSA 8 HoF Bulls",129.99,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/157575646487?_skw=michael+jordan+topps+finest&hash=item24b03d8d17:g:r-YAAeSwTHlpUchC
0,ERROR,"1993-94 Topps Finest #1 Michael Jordan Chicago Bulls",104.94,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/406651214078?_skw=michael+jordan+topps+finest&hash=item5eae4d18fe:g:J6AAAeSwq~ppe-NG
0,ERROR,"1995-96 Topps Mystery Finest Michael Jordan #M1 PSA 9 Bulls",161.98,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/206039044065?_skw=michael+jordan+topps+finest&hash=item2ff8e24fe1:g:vIcAAeSwdyZpfX1l
0,ERROR,"1994-95 Topps Finest - Michael Jordan #331",150,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/389561877479?_skw=michael+jordan+topps+finest&hash=item5ab3b283e7:g:efoAAeSwYAVpfjcu&amdata=enc%3AAQALAAABADZq0hFgvSYlgrFkWCFZ3z2Wp0Mt9nx6znO%2ByyJAmx1q3hjqDQmHCf5kQHQqRFZMbEuW4nNM%2FeZrtg8pm8KP8UYKWwnrwSNZ2uPJ%2FvuD34K7UZG3QAhMUhi9DVgzHVWjcvywUiL%2F9BF%2Fj2y4c7CPEnliyglwKnFgh21OUvqO7sLVvJLWtXZvx3bOuXbD9o1v9EEW0YR7QSG5JCqeKdzJPUSj2Vhe1T1ph%2BYZ5Ob9VjuCgl7XrjmQWFcVzuhbC3VRa7sys1KCuZTHtTRxZixZN%2Fqc%2Fla2EQg%2BVA54QR6xXfTT%2BrdeD99rhGly7sQVaHFBIgo9w7Qs%2BD4bR2WOkpoAD7U%3D
0,ERROR,"1997 Finest Michael Jordan #39 Finishers RED FOIL - Ready to Grade",62.68,N/A,N/A,N/A,N/A,,None,https://www.ebay.com/itm/255245732716?_skw=michael+jordan+topps+finest&hash=item3b6dd4cb6c:g:mNgAAOSwhRhktMwn&amdata=enc%3AAQALAAAA8DZq0hFgvSYlgrFkWCFZ3z2L0GsoKrqjU2a0U8Tu1lF40ptnmbJYPcql27NrikBC6o1MXTznQu6fpRnn2lOKcDsKdnVnCPf8iiveEa0NarcEpmQlegAvsKu8J3%2FY0l7R%2FznnY06nVC2A4ebfCUwLECGJ%2ByXjd65ffl5E8EwlkwPhLAV8tJjrjjVQgwrvoMY3HBquI7FilMTtxR%2FdOxFyLcw8xCOXy94%2FB8xIsj4%2BMpS8k6qiKXQeyvtEH%2Bj0IyiYAa9NaoD9743%2BKGW%2F3%2B3gnMFumGrmkNp%2BJ4xH2WbzD08%2BeE6YQkjTdI1ag4lrpJPcGw%3D%3D
